80,ROC,Greater Rochester International,Rochester,NY,361.62,361.41,75835
81,SYR,Syracuse Hancock International,Syracuse,NY,375.93,375.71,68766
82,GSP,Greenville-Spartanburg International,Greer,SC,413.53,413.29,60250
83,MSN,Dane County Regional-Truax Field,Madison,WI,449.55,449.29,58401
84,PWM,Portland International Jetport,Portland,ME,360.28,360.07,56324
85,LIT,Bill and Hillary Clinton Nat Adams Field,Little Rock,AR,417.77,417.53,56280
86,MHT,Manchester-Boston Regional,Manchester,NH,378.64,378.43,55790
87,SAV,Savannah/Hilton Head International,Savannah,GA,358.63,358.42,54512
88,TYS,McGhee Tyson,Knoxville,TN,438.62,438.37,54348
89,SFB,Orlando Sanford International,Sanford,FL,118.85,118.78,52486
90,KOA,Ellison Onizuka Kona International at Keahole,Kona,HI,286.70,286.53,51259
91,ISP,Long Island MacArthur,Islip,NY,250.78,250.63,49738
92,LIH,Lihue Airport,Lihue,HI,267.02,266.87,49601
93,GSO,Piedmont Triad International,Greensboro/High Point,NC,429.00,428.76,49348
94,PNS,Pensacola International,Pensacola,FL,420.40,420.15,46976
95,HPN,Westchester County,White Plains,NY,382.36,382.14,46314
96,ICT,Wichita Dwight D Eisenhower National,Wichita,KS,388.31,388.09,46212
97,COS,City of Colorado Springs Municipal,Colorado Springs,CO,340.19,340.00,46126
98,PIE,St Pete Clearwater International,St. Petersburg,FL,123.67,123.60,45638
99,DAY,James M Cox/Dayton International,Dayton,OH,420.53,420.29,45552
100,FAT,Fresno Yosemite International,Fresno,CA,411.06,410.83,45507
101,XNA,Northwest Arkansas Regional,Fayetteville,AR,518.60,518.30,37586
102,AZA,Phoenix - Mesa Gateway,Phoenix,AZ,138.63,138.55,36328
103,BTV,Burlington International,Burlington,VT,392.79,392.56,35910
104,MDT,Harrisburg International,Harrisburg,PA,469.32,469.05,35814
105,LEX,Blue Grass,Lexington,KY,421.37,421.13,35526
106,PSP,Palm Springs International,Palm Springs,CA,402.58,402.34,35445
107,MYR,Myrtle Beach International,Myrtle Beach,SC,229.58,229.45,34384
108,CID,The Eastern Iowa,Cedar Rapids/Iowa City,IA,431.45,431.21,34268
109,MAF,Midland International Air and Space Port,Midland/Odessa,TX,490.80,490.52,33304
110,EUG,Mahlon Sweet Field,Eugene,OR,360.35,360.14,33200
111,PGD,Punta Gorda Airport,Punta Gorda,FL,117.49,117.42,30608
112,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,397.11,396.88,30250
113,FSD,Joe Foss Field,Sioux Falls,SD,443.47,443.21,30130
114,CHA,Lovell Field,Chattanooga,TN,416.47,416.23,29517
115,HSV,Huntsville International-Carl T Jones Field,Huntsville,AL,614.00,613.64,29475
116,CAE,Columbia Metropolitan,Columbia,SC,483.69,483.41,28845
117,AVL,Asheville Regional,Asheville,NC,367.77,367.55,28593
118,MFR,Rogue Valley International - Medford,Medford,OR,355.01,354.81,28584
119,SGF,Springfield-Branson National,Springfield,MO,434.87,434.62,28059
120,BZN,Bozeman Yellowstone International,Bozeman,MT,427.74,427.49,27420
121,BLI,Bellingham International,Bellingham,WA,242.37,242.23,26849
122,ILM,Wilmington International,Wilmington,NC,427.91,427.66,26446
123,ITO,Hilo International,Hilo,HI,259.17,259.02,26374
124,LBB,Lubbock Preston Smith International,Lubbock,TX,424.50,424.25,25757
125,CAK,Akron-Canton Regional,Akron,OH,377.70,377.48,25642
126,VPS,Eglin AFB Destin Fort Walton Beach,Valparaiso,FL,373.13,372.91,25427
127,FAI,Fairbanks International,Fairbanks,AK,404.06,403.83,25162
128,JAN,Jackson Medgar Wiley Evers International,Jackson/Vicksburg,MS,552.62,552.31,24925
129,ACY,Atlantic City International,Atlantic City,NJ,104.52,104.46,24834
130,TTN,Trenton Mercer,Trenton,NJ,121.44,121.37,24821
131,ABE,Lehigh Valley International,Allentown/Bethlehem/Easton,PA,306.30,306.12,24649
132,FAR,Hector International,Fargo,ND,490.11,489.83,23910
133,PSC,Tri Cities,Pasco/Kennewick/Richland,WA,394.28,394.05,23477
134,FWA,Fort Wayne International,Fort Wayne,IN,445.51,445.26,23402
135,RDM,Roberts Field,Bend/Redmond,OR,387.63,387.41,23156
136,BIL,Billings Logan International,Billings,MT,445.69,445.43,22841
137,FNT,Bishop International,Flint,MI,358.53,358.32,22594
138,SBN,South Bend International,South Bend,IN,396.86,396.63,22435
139,MSO,Missoula International,Missoula,MT,377.02,376.80,22234
140,MLI,Quad City International,Moline,IL,405.48,405.24,21991
141,PIA,General Downing - Peoria International,Peoria,IL,345.96,345.76,21535
142,BTR,Baton Rouge Metropolitan/Ryan Field,Baton Rouge,LA,501.36,501.07,20811
143,CHO,Charlottesville Albemarle,Charlottesville,VA,412.67,412.43,20290
144,SBA,Santa Barbara Municipal,Santa Barbara,CA,505.39,505.10,20269
145,MFE,McAllen Miller International,Mission/McAllen/Edinburg,TX,513.47,513.17,20112
146,ECP,Northwest Florida Beaches International,Panama City,FL,414.49,414.26,19646
147,TLH,Tallahassee International,Tallahassee,FL,560.08,559.75,19564
148,ATW,Appleton International,Appleton,WI,451.47,451.21,19400
149,AMA,Rick Husband Amarillo International,Amarillo,TX,421.31,421.07,18889
150,DAB,Daytona Beach International,Daytona Beach,FL,372.16,371.95,18850
151,AGS,Augusta Regional at Bush Field,Augusta,GA,444.97,444.71,17664
152,CRP,Corpus Christi International,Corpus Christi,TX,444.87,444.61,17556
153,BQN,Rafael Hernandez,Aguadilla,PR,217.42,217.30,17058
154,BIS,Bismarck Municipal,Bismarck/Mandan,ND,438.98,438.73,16994
155,ROA,Roanoke Blacksburg Regional Woodrum Field,Roanoke,VA,499.57,499.29,16667
156,BGR,Bangor International,Bangor,ME,425.98,425.73,16228
157,AVP,Wilkes Barre Scranton International,Scranton/Wilkes-Barre,PA,396.59,396.36,16223
158,GRB,Green Bay Austin Straubel International,Green Bay,WI,559.25,558.93,15913
159,SHV,Shreveport Regional,Shreveport,LA,506.79,506.50,15736
160,HRL,Valley International,Harlingen/San Benito,TX,390.99,390.77,15408
161,STT,Cyril E King,Charlotte Amalie,VI,348.08,347.88,14508
162,GPT,Gulfport-Biloxi International,Gulfport/Biloxi,MS,470.29,470.02,14322
163,FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,430.24,429.99,13942
164,GNV,Gainesville Regional,Gainesville,FL,458.20,457.94,13909
165,RAP,Rapid City Regional,Rapid City,SD,478.11,477.84,13759
166,MOB,Mobile Regional,Mobile,AL,557.85,557.53,13758
167,SBP,San Luis County Regional,San Luis Obispo,CA,524.85,524.55,13459
168,FCA,Glacier Park International,Kalispell,MT,420.93,420.69,13405
169,JNU,Juneau International,Juneau,AK,403.29,403.05,13201
170,MLB,Melbourne International,Melbourne,FL,395.75,395.52,12533
171,LFT,Lafayette Regional Paul Fournet Field,Lafayette,LA,578.62,578.29,12248
172,EVV,Evansville Regional,Evansville,IN,463.35,463.08,12220
173,SWF,Stewart International,Newburgh/Poughkeepsie,NY,279.06,278.90,12171
174,BLV,Scott AFB/MidAmerica,Belleville,IL,138.37,138.29,12079
175,PHF,Newport News/Williamsburg International,Newport News/Williamsburg,VA,457.22,456.95,11967
176,STS,Charles M. Schulz - Sonoma County,Santa Rosa,CA,299.55,299.38,11886
177,GJT,Grand Junction Regional,Grand Junction,CO,480.82,480.55,11726
178,LCK,Rickenbacker International,Columbus,OH,115.52,115.45,11570
179,BMI,Central Illinois Regional,Bloomington/Normal,IL,390.01,389.79,11382
180,TVC,Cherry Capital,Traverse City,MI,544.94,544.63,11296
181,TRI,Tri Cities,Bristol/Johnson City/Kingsport,TN,541.75,541.44,11104
182,CRW,Yeager,Charleston/Dunbar,WV,529.93,529.62,10870
183,EYW,Key West International,Key West,FL,420.70,420.46,10768
184,GTF,Great Falls International,Great Falls,MT,415.79,415.55,10404
185,OAJ,Albert J Ellis,Jacksonville/Camp Lejeune,NC,406.84,406.61,9595
186,MOT,Minot International,Minot,ND,489.19,488.91,9582
187,MRY,Monterey Regional,Monterey,CA,409.56,409.33,9518
188,USA,Concord Padgett Regional,CONCORD,NC,118.73,118.66,9516
189,PBG,Plattsburgh International,Plattsburgh,NY,183.92,183.81,9342
190,JAC,Jackson Hole,Jackson,WY,561.31,560.99,8929
191,DRO,Durango La Plata County,Durango,CO,578.67,578.33,8843
192,RST,Rochester International,Rochester,MN,377.59,377.37,8842
193,LAN,Capital Region International,Lansing,MI,468.50,468.23,8718
194,GRK,Robert Gray AAF,Killeen,TX,417.31,417.07,8489
195,ELM,Elmira/Corning Regional,Elmira/Corning,NY,452.36,452.10,8330
196,MGM,Montgomery Regional,Montgomery,AL,560.77,560.45,8261
197,RFD,Chicago/Rockford International,Rockford,IL,148.62,148.53,8168
198,STX,Henry E. Rohlsen,Christiansted,VI,384.78,384.56,8147
199,TOL,Toledo Express,Toledo,OH,274.00,273.84,8116
200,AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,535.19,534.88,8021
201,IDA,Idaho Falls Regional,Idaho Falls,ID,455.67,455.41,7918
202,IAG,Niagara Falls International,Niagara Falls,NY,128.94,128.86,7850
203,ASE,Aspen Pitkin County Sardy Field,Aspen,CO,612.26,611.91,7832
204,SCK,Stockton Metropolitan,Stockton,CA,129.44,129.36,7364
205,LBE,Arnold Palmer Regional,Latrobe,PA,103.60,103.54,7348
206,DLH,Duluth International,Duluth,MN,523.97,523.67,7340
207,HTS,Tri-State/Milton J. Ferguson Field,Ashland,WV,217.48,217.36,7179
208,MBS,MBS International,Saginaw/Bay City/Midland,MI,526.94,526.64,7059
209,SGU,St George Regional,St. George,UT,444.84,444.58,7021
210,SCE,University Park,State College,PA,556.40,556.08,6952
211,GFK,Grand Forks International,Grand Forks,ND,491.72,491.43,6902
212,COU,Columbia Regional,Columbia,MO,464.68,464.41,6731
213,CWA,Central Wisconsin,Mosinee,WI,540.62,540.31,6713
214,EWN,Coastal Carolina Regional,New Bern/Morehead/Beaufort,NC,434.50,434.25,6693
215,HLN,Helena Regional,Helena,MT,487.68,487.40,6520
216,BFL,Meadows Field,Bakersfield,CA,586.34,586.00,6494
217,LNK,Lincoln Airport,Lincoln,NE,475.16,474.89,6386
218,CMI,University of Illinois/Willard,Champaign/Urbana,IL,499.08,498.79,6352
219,LSE,La Crosse Regional,La Crosse,WI,476.94,476.66,5978
220,AEX,Alexandria International,Alexandria,LA,559.61,559.29,5930
221,PSE,Mercedita,Ponce,PR,247.14,247.00,5747
